gender,age,under_30,senior_citizen,married,number_of_dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,churn_value,churn_score,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,new_user,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,cluster_carefree,cluster_price_sensitive,cluster_vanilla
0,78,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,100,0,0,1,0.0,8,0,0,39.65,39.65,0.0,20,0.0,59.65,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,74,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,69,1,1,8,48.85,17,0,1,80.65,633.3,0.0,0,390.8,1024.1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0,71,0,1,0,3,1,1,0,0,0,0,1,1,1,1,1,81,0,0,18,11.33,52,1,1,95.45,1752.55,45.61,0,203.94,1910.88,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,78,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,88,1,1,25,19.76,12,0,1,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,80,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,67,1,1,37,6.33,14,0,1,76.5,2868.15,0.0,0,234.21,3102.36,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,72,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,95,0,0,27,3.33,18,0,0,78.05,2135.5,0.0,10,89.91,2235.41,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,76,0,1,1,2,1,0,0,0,0,0,0,0,1,1,1,76,1,1,1,15.28,30,0,1,70.45,70.45,0.0,0,15.28,85.73,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,66,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,100,1,6,58,0.0,24,0,1,45.3,2651.2,40.95,0,0.0,2610.25,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,70,0,1,0,2,1,1,0,0,0,0,0,0,1,1,1,99,0,0,15,44.07,19,0,1,74.45,1145.7,0.0,0,661.05,1806.75,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,77,0,1,0,2,1,0,1,0,0,0,0,0,1,0,1,81,0,0,7,26.95,18,0,0,76.45,503.6,11.05,0,188.65,681.2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,78,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,85,0,0,11,11.59,29,0,0,95.0,1120.3,0.0,120,127.49,1367.79,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,65,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,86,0,0,15,29.11,29,0,1,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,77,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,65,1,1,1,0.0,12,0,1,40.2,40.2,0.0,0,0.0,40.2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,67,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,96,0,0,3,0.0,28,1,1,41.15,132.2,0.0,0,0.0,132.2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,68,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,84,0,0,13,32.68,11,0,0,106.9,1364.3,0.0,10,424.84,1799.14,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,68,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,81,0,0,16,9.43,9,1,1,94.45,1511.2,0.0,0,150.88,1662.08,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,66,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,80,0,0,8,1.78,7,0,1,74.5,606.55,0.0,0,14.24,620.79,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,69,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,98,0,0,24,30.87,15,0,1,76.1,1712.7,0.0,0,740.88,2453.58,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,74,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,85,0,0,4,31.61,2,0,1,95.45,396.1,0.0,0,126.44,522.54,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,76,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,69,1,2,32,47.34,10,0,1,74.9,2303.35,0.0,0,1514.88,3818.23,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,77,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,73,1,1,24,16.1,12,1,1,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,70,0,1,0,0,1,1,1,1,0,1,1,1,12,0,1,83,0,0,54,12.08,5,1,1,82.45,4350.1,0.0,0,652.32,5002.42,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,74,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,73,0,0,2,13.17,10,0,1,70.35,139.05,0.0,0,26.34,165.39,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,77,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,97,0,0,21,0.0,8,0,1,41.9,840.1,0.0,0,0.0,840.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,71,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,91,0,0,27,0.0,13,0,0,30.75,805.1,0.0,140,0.0,945.1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,79,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,80,1,1,11,29.54,0,0,0,19.95,214.75,0.0,0,324.94,539.69,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,66,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,100,1,2,55,42.82,27,0,0,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,77,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,73,0,0,3,9.22,14,0,1,81.35,233.7,0.0,0,27.660000000000004,261.36,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,80,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,67,0,0,1,35.09,17,0,0,75.3,75.3,0.0,20,35.09,130.39,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,77,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,89,0,0,5,0.0,26,0,1,28.45,131.05,0.0,0,0.0,131.05,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,77,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,87,0,0,20,48.73,12,0,0,94.1,1782.4,0.0,80,974.6,2837.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,72,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,82,1,4,5,45.76,22,0,1,74.35,334.8,0.0,0,228.8,563.6,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,80,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,99,1,2,27,7.02,25,0,1,75.2,1929.35,0.0,0,189.54,2118.89,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,74,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,74,0,0,4,48.35,24,0,1,89.2,346.2,0.0,0,193.4,539.6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,68,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,66,0,0,1,45.81,21,0,1,85.7,85.7,0.0,0,45.81,131.51,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,78,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,91,1,3,65,18.39,28,0,1,105.25,6786.4,0.0,0,1195.35,7981.75,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,75,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,96,1,3,49,22.92,14,0,1,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,77,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,65,1,1,43,14.52,5,0,1,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,80,0,1,1,0,1,1,1,0,1,0,1,1,12,1,1,91,0,0,56,48.8,12,0,1,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,75,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,84,1,7,20,5.31,10,1,1,94.55,1899.65,0.0,0,106.2,2005.85,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,69,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,80,0,0,2,47.47,19,1,1,89.5,161.5,0.0,0,94.94,256.44,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,74,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,83,0,0,8,27.95,0,0,0,19.65,164.3,0.0,0,223.6,387.9,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,76,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,90,0,0,52,0.0,18,1,0,49.15,2550.9,0.0,30,0.0,2580.9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,69,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,89,0,0,2,43.99,27,0,1,49.25,91.1,0.0,0,87.98,179.07999999999998,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,72,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,96,1,1,33,27.78,8,0,1,94.5,3105.55,0.0,0,916.74,4022.29,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,69,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,97,0,0,30,45.88,19,0,1,91.7,2758.15,0.0,0,1376.4,4134.55,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,73,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,92,0,0,20,44.44,13,0,0,98.55,1842.8,0.0,120,888.8,2851.6,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,65,0,1,0,0,1,1,1,1,1,0,1,1,12,1,1,81,0,0,46,2.37,20,1,1,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,74,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,83,1,1,7,21.91,11,0,1,95.6,644.35,0.0,0,153.37,797.72,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,65,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,72,0,0,4,36.93,18,0,1,78.85,292.8,0.0,0,147.72,440.52,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,66,0,1,0,0,1,1,0,0,1,0,1,1,12,1,1,83,0,0,55,37.38,7,1,0,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,71,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,95,1,1,20,5.37,24,0,1,73.65,1463.5,0.0,0,107.4,1570.9,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,65,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,70,0,0,9,48.71,15,1,1,100.5,918.6,0.0,0,438.39,1356.99,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,69,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,99,0,0,10,5.46,24,0,0,72.85,688.65,0.0,30,54.6,773.25,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,75,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,94,0,0,1,36.92,6,0,1,73.55,73.55,0.0,0,36.92,110.47,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,75,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,91,0,0,3,41.9,11,0,1,79.4,205.05,0.0,0,125.7,330.75,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,68,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,83,0,0,4,6.68,17,0,1,84.6,360.1,0.0,0,26.72,386.8200000000001,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,71,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,82,0,0,35,20.83,19,0,0,99.05,3395.8,0.0,120,729.05,4244.85,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,80,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,84,0,0,2,26.62,11,0,1,44.95,85.15,0.0,0,53.24,138.39,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,66,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,74,0,0,8,11.57,27,1,1,100.3,832.35,0.0,0,92.56,924.91,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,73,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,96,1,2,44,0.0,28,0,1,30.35,1359.7,0.0,0,0.0,1359.7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,77,0,1,1,0,1,1,0,1,1,0,1,1,12,1,1,91,1,1,62,7.11,16,1,1,103.75,6383.35,0.0,0,440.82,6824.17,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,76,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,72,1,1,33,33.19,15,0,1,80.6,2656.5,0.0,0,1095.27,3751.77,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,65,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,99,0,0,4,49.5,23,1,1,94.3,424.45,0.0,0,198.0,622.45,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,75,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,65,1,1,27,10.6,23,0,1,75.5,1893.95,0.0,0,286.2,2180.15,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,75,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,90,0,0,8,40.45,29,0,1,100.6,819.4,0.0,0,323.6,1143.0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,68,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,68,1,1,3,25.77,2,0,1,88.3,273.75,0.0,0,77.31,351.06,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,71,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,81,0,0,8,42.93,9,0,1,92.1,729.95,0.0,0,343.44,1073.39,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,74,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,96,0,0,14,11.31,24,0,1,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,77,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,74,0,0,12,0.0,10,0,1,43.65,526.95,0.0,0,0.0,526.95,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,73,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,97,0,0,13,40.37,21,0,1,74.3,940.35,0.0,0,524.81,1465.16,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,68,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,89,0,0,11,3.96,27,0,1,89.7,1047.7,0.0,0,43.56,1091.26,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,74,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,87,1,1,17,28.18,16,0,1,100.45,1622.45,0.0,0,479.06,2101.51,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,65,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,96,1,1,39,33.25,26,1,1,105.65,4284.8,0.0,0,1296.75,5581.55,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,73,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,82,1,5,11,17.25,27,0,1,104.05,1133.65,0.0,0,189.75,1323.4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,74,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,89,1,1,3,3.29,9,0,1,80.4,224.05,0.0,0,9.87,233.92,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,80,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,70,0,0,21,34.62,14,0,1,60.05,1236.15,0.0,0,727.02,1963.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,76,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,96,0,0,16,38.75,16,0,1,96.15,1529.2,0.0,0,620.0,2149.2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,73,0,1,0,0,1,0,0,1,0,0,1,1,12,0,1,90,0,0,46,6.13,30,0,1,95.25,4424.2,0.0,0,281.98,4706.18,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,70,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,69,1,1,68,24.13,24,0,1,89.6,6127.6,0.0,0,1640.84,7768.44,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,75,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,89,1,1,7,13.63,27,0,1,89.5,676.7,0.0,0,95.41,772.11,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,74,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,83,1,1,15,45.25,22,0,1,85.6,1345.55,0.0,0,678.75,2024.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,76,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,81,0,0,16,19.18,22,0,1,86.6,1281.0,0.0,0,306.88,1587.88,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,75,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,75,0,0,1,29.68,18,0,1,69.25,69.25,0.0,0,29.68,98.93,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,74,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,67,0,0,1,0.0,5,0,1,25.2,25.2,0.0,0,0.0,25.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
