,true_values,preds_value
7,1,0
21,1,0
25,1,0
35,1,0
36,1,0
38,1,0
39,1,0
47,1,0
117,1,0
118,1,0
128,1,0
142,1,0
144,1,0
155,1,0
160,1,0
175,1,0
215,1,0
223,1,0
246,1,0
253,1,0
276,1,0
278,1,0
294,1,0
306,1,0
317,1,0
372,1,0
376,1,0
380,1,0
382,1,0
392,1,0
421,1,0
428,1,0
440,1,0
449,1,0
1146,1,0
1147,1,0
1149,1,0
1161,1,0
1162,1,0
1163,1,0
1166,1,0
1172,1,0
1175,1,0
1180,1,0
1185,1,0
1192,1,0
1196,1,0
1197,1,0
1202,1,0
1205,1,0
1206,1,0
1217,1,0
1221,1,0
1234,1,0
1238,1,0
1247,1,0
1248,1,0
1251,1,0
1252,1,0
1254,1,0
1256,1,0
1257,1,0
1258,1,0
1265,1,0
1295,1,0
1296,1,0
1303,1,0
1315,1,0
1316,1,0
1329,1,0
1355,1,0
1361,1,0
1369,1,0
1389,1,0
1399,1,0
1419,1,0
1442,1,0
1445,1,0
1461,1,0
1467,1,0
1475,1,0
1493,1,0
1495,1,0
1496,1,0
1506,1,0
1524,1,0
1531,1,0
1532,1,0
1542,1,0
1552,1,0
1560,1,0
1563,1,0
1576,1,0
1578,1,0
1584,1,0
1591,1,0
1621,1,0
1622,1,0
1631,1,0
1642,1,0
1645,1,0
1650,1,0
1655,1,0
1656,1,0
1660,1,0
1669,1,0
1686,1,0
1689,1,0
1692,1,0
1694,1,0
1701,1,0
1713,1,0
1734,1,0
1736,1,0
1737,1,0
1740,1,0
1747,1,0
1771,1,0
1777,1,0
1800,1,0
1807,1,0
1820,1,0
1832,1,0
1834,1,0
1836,1,0
1845,1,0
1846,1,0
1857,1,0
1861,1,0
1870,1,0
1872,1,0
1890,1,0
1891,1,0
1893,1,0
1894,1,0
1898,1,0
1900,1,0
1902,1,0
1906,1,0
1919,1,0
1923,1,0
1926,1,0
1946,1,0
1947,1,0
1949,1,0
1962,1,0
1965,1,0
1966,1,0
1978,1,0
1980,1,0
1982,1,0
1984,1,0
1990,1,0
2001,1,0
2004,1,0
2007,1,0
2012,1,0
2021,1,0
2038,1,0
2045,1,0
2048,1,0
2055,1,0
2058,1,0
2065,1,0
2066,1,0
2072,1,0
2076,1,0
2082,1,0
2086,1,0
2088,1,0
2091,1,0
2099,1,0
2106,1,0
2124,1,0
2127,1,0
2130,1,0
2136,1,0
2138,1,0
2144,1,0
2146,1,0
2148,1,0
2150,1,0
2152,1,0
2160,1,0
2163,1,0
2169,1,0
2170,1,0
2171,1,0
2181,1,0
2185,1,0
2188,1,0
2194,1,0
2201,1,0
2205,1,0
2211,1,0
2215,1,0
2218,1,0
2219,1,0
2223,1,0
2231,1,0
2232,1,0
2239,1,0
2240,1,0
2244,1,0
2247,1,0
2266,1,0
2270,1,0
2275,1,0
2283,1,0
2296,1,0
2299,1,0
2300,1,0
2303,1,0
2308,1,0
2314,1,0
2315,1,0
2316,1,0
2319,1,0
2323,1,0
2329,1,0
2331,1,0
2334,1,0
2340,1,0
2343,1,0
2351,1,0
2352,1,0
2363,1,0
2364,1,0
2378,1,0
2379,1,0
2383,1,0
2386,1,0
2392,1,0
2402,1,0
2403,1,0
2404,1,0
2406,1,0
2409,1,0
2431,1,0
2433,1,0
2441,1,0
2451,1,0
2457,1,0
2464,1,0
2468,1,0
2471,1,0
2474,1,0
2476,1,0
2478,1,0
2479,1,0
2482,1,0
2483,1,0
2484,1,0
2487,1,0
2501,1,0
2506,1,0
2518,1,0
2525,1,0
2530,1,0
2532,1,0
2534,1,0
