gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,city,zip_code,latitude,longitude,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,churn_value,churn_score,cltv,churn_reason,referred_a_friend,number_of_referrals,offer,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_category,pop_density,new_user
0,78,0,1,0,0,0,Los Angeles,90022,34.02381,-118.156582,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,1,100,5433,Competitor offered more data,0,0,None,0.0,DSL,8,0,0,39.65,39.65,0.0,20,0.0,59.65,3,1,Competitor,15334,0
1,74,0,1,1,1,1,Los Angeles,90063,34.044271,-118.185237,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),1,69,5302,Competitor made better offer,1,1,Offer E,48.85,Fiber Optic,17,0,1,80.65,633.3,0.0,0,390.8,1024.1,3,1,Competitor,17038,0
0,71,0,1,0,1,3,Los Angeles,90065,34.108833,-118.229715,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,81,3179,Competitor made better offer,0,0,Offer D,11.33,Fiber Optic,52,1,1,95.45,1752.55,45.61,0,203.94,1910.88,2,1,Competitor,8625,0
1,78,0,1,1,1,1,Inglewood,90303,33.936291,-118.332639,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,88,5337,Limited range of services,1,1,Offer C,19.76,Fiber Optic,12,0,1,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,1,Dissatisfaction,11799,0
1,80,0,1,1,1,1,Whittier,90602,33.972119,-118.020188,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,67,2793,Extra data charges,1,1,Offer C,6.33,Fiber Optic,14,0,1,76.5,2868.15,0.0,0,234.21,3102.36,2,1,Price,6947,0
1,72,0,1,0,1,1,Pico Rivera,90660,33.989524,-118.089299,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,1,95,4638,Service dissatisfaction,0,0,Offer C,3.33,Fiber Optic,18,0,0,78.05,2135.5,0.0,10,89.91,2235.41,1,1,Competitor,8120,0
1,76,0,1,1,1,2,Los Alamitos,90720,33.79499,-118.065591,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,76,3964,Don't know,1,1,Offer E,15.28,Fiber Optic,30,0,1,70.45,70.45,0.0,0,15.28,85.73,2,1,Other,3550,0
0,66,0,1,1,0,0,Sierra Madre,91024,34.168686,-118.057505,58,0,0,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,100,5444,Service dissatisfaction,1,6,Offer B,0.0,DSL,24,0,1,45.3,2651.2,40.95,0,0.0,2610.25,1,1,Dissatisfaction,3698,0
1,70,0,1,0,1,2,Pasadena,91106,34.139402,-118.128658,15,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,99,5717,Limited range of services,0,0,Offer D,44.07,Fiber Optic,19,0,1,74.45,1145.7,0.0,0,661.05,1806.75,2,1,Dissatisfaction,8210,0
1,77,0,1,0,1,2,Pasadena,91107,34.159007,-118.087353,7,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,81,4419,Lack of affordable download/upload speed,0,0,Offer E,26.95,Fiber Optic,18,0,0,76.45,503.6,11.05,0,188.65,681.2,2,1,Price,4008,0
