gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,new_user,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,internet_type_DSL,internet_type_Fiber Optic,internet_type_None
0,39,0,0,1,0,0,1,1,1,1,1,1,0,0,24,0,1,5,72,42.55,18,0,1,72.1,5016.65,0.0,0,3063.6,8080.25,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,32,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,7.11,26,0,1,75.55,75.55,0.0,0,7.11,82.66,1,1,0,0,1,0,0,0,0,0,0,0,1,0
0,35,0,0,1,1,3,0,0,0,1,1,0,1,1,24,1,1,4,66,0.0,25,1,1,56.75,3708.4,0.0,0,0.0,3708.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,20,1,0,0,0,0,1,0,0,1,0,0,1,1,12,1,0,0,7,36.49,42,1,1,94.05,633.45,0.0,0,255.43,888.8800000000001,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,68,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,4,55,22.74,21,0,1,90.45,5044.8,12.48,0,1250.6999999999998,6283.02,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,28,1,0,1,0,0,1,1,1,1,1,1,1,1,12,0,1,9,66,43.77,41,1,1,115.8,7942.15,0.0,0,2888.82,10830.97,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,49,0,0,1,1,3,0,0,0,1,0,1,1,1,24,0,1,9,72,0.0,53,1,1,53.65,3784.0,0.0,0,0.0,3784.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,74,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,46.65,25,0,1,73.85,196.4,0.0,0,139.95,336.35,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1,76,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,4,43,3.66,22,0,1,94.5,4156.8,0.0,0,157.38,4314.18,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21,44.01,0,0,0,19.95,416.4,0.0,0,924.21,1340.61,0,0,1,0,0,1,0,0,0,1,0,0,0,1
