gender,age,married,city,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,churn_value,churn_score,cltv,churn_reason,referred_a_friend,number_of_referrals,offer,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_category,cluster,customer_id,months_to_churn
Male,78,0,Los Angeles,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,1,100,5433,Competitor offered more data,0,0,None,0.0,DSL,8,0,0,39.65,39.65,0.0,20,0.0,59.65,3,1,Competitor,Price Sensitive,8779-QRDMV,0.0
Female,74,1,Los Angeles,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),1,69,5302,Competitor made better offer,1,1,Offer E,48.85,Fiber Optic,17,0,1,80.65,633.3,0.0,0,390.8,1024.1,3,1,Competitor,Price Sensitive,7495-OOKFY,0.0
Male,71,0,Los Angeles,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,81,3179,Competitor made better offer,0,0,Offer D,11.33,Fiber Optic,52,1,1,95.45,1752.55,45.61,0,203.94,1910.88,2,1,Competitor,Price Sensitive,1658-BYGOY,0.0
Female,78,1,Inglewood,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,88,5337,Limited range of services,1,1,Offer C,19.76,Fiber Optic,12,0,1,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,1,Dissatisfaction,Price Sensitive,4598-XLKNJ,0.0
Female,80,1,Whittier,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,67,2793,Extra data charges,1,1,Offer C,6.33,Fiber Optic,14,0,1,76.5,2868.15,0.0,0,234.21,3102.36,2,1,Price,Price Sensitive,4846-WHAFZ,0.0
Female,72,0,Pico Rivera,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,1,95,4638,Service dissatisfaction,0,0,Offer C,3.33,Fiber Optic,18,0,0,78.05,2135.5,0.0,10,89.91,2235.41,1,1,Competitor,Price Sensitive,4412-YLTKF,0.0
Female,76,1,Los Alamitos,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,76,3964,Don't know,1,1,Offer E,15.28,Fiber Optic,30,0,1,70.45,70.45,0.0,0,15.28,85.73,2,1,Other,Price Sensitive,0390-DCFDQ,0.0
Male,66,1,Sierra Madre,58,0,0,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,100,5444,Service dissatisfaction,1,6,Offer B,0.0,DSL,24,0,1,45.3,2651.2,40.95,0,0.0,2610.25,1,1,Dissatisfaction,Vanilla,3445-HXXGF,0.0
Female,70,0,Pasadena,15,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,1,99,5717,Limited range of services,0,0,Offer D,44.07,Fiber Optic,19,0,1,74.45,1145.7,0.0,0,661.05,1806.75,2,1,Dissatisfaction,Price Sensitive,2656-FMOKZ,0.0
Female,77,0,Pasadena,7,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),1,81,4419,Lack of affordable download/upload speed,0,0,Offer E,26.95,Fiber Optic,18,0,0,76.45,503.6,11.05,0,188.65,681.2,2,1,Price,Price Sensitive,2070-FNEXE,0.0
Female,78,0,North Hollywood,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,85,5980,Product dissatisfaction,0,0,Offer D,11.59,Fiber Optic,29,0,0,95.0,1120.3,0.0,120,127.49,1367.79,1,1,Dissatisfaction,Price Sensitive,0094-OIFMO,0.0
Male,65,0,Covina,15,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,86,4616,Service dissatisfaction,0,0,Offer D,29.11,Fiber Optic,29,0,1,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,1,Competitor,Price Sensitive,9947-OTFQU,0.0
Male,77,1,El Monte,1,0,0,DSL,0,1,0,0,1,0,Month-to-month,0,Electronic check,1,65,5828,Limited range of services,1,1,Offer E,0.0,DSL,12,0,1,40.2,40.2,0.0,0,0.0,40.2,2,1,Dissatisfaction,Price Sensitive,9514-JDSKI,0.0
Male,67,0,La Puente,3,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,1,96,2314,Long distance charges,0,0,Offer E,0.0,DSL,28,1,1,41.15,132.2,0.0,0,0.0,132.2,2,1,Price,Price Sensitive,7273-TEFQD,0.0
Male,68,0,Rowland Heights,13,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,84,2494,Extra data charges,0,0,Offer D,32.68,Cable,11,0,0,106.9,1364.3,0.0,10,424.84,1799.14,1,1,Competitor,Price Sensitive,3606-TWKGI,0.0
Female,68,0,Ontario,16,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,1,81,3810,Product dissatisfaction,0,0,Offer D,9.43,Fiber Optic,9,1,1,94.45,1511.2,0.0,0,150.88,1662.08,1,1,Competitor,Price Sensitive,4385-GZQXV,0.0
Male,66,0,Alpine,8,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,80,4345,Poor expertise of online support,0,0,None,1.78,Fiber Optic,7,0,1,74.5,606.55,0.0,0,14.24,620.79,2,1,Dissatisfaction,Price Sensitive,3488-PGMQJ,0.0
Male,69,0,Boulevard,24,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,98,2018,Price too high,0,0,Offer C,30.87,Fiber Optic,15,0,1,76.1,1712.7,0.0,0,740.88,2453.58,2,1,Competitor,Price Sensitive,7534-BFESC,0.0
Female,74,0,Jacumba,4,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,85,3677,Service dissatisfaction,0,0,Offer E,31.61,Fiber Optic,2,0,1,95.45,396.1,0.0,0,126.44,522.54,3,1,Competitor,Price Sensitive,8098-LLAZX,0.0
Male,76,1,Mount Laguna,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,69,4105,Lack of self-service on Website,1,2,Offer C,47.34,Fiber Optic,10,0,1,74.9,2303.35,0.0,0,1514.88,3818.23,2,1,Attitude,Price Sensitive,0265-EDXBD,0.0
